# Er [keV]  dR/dEr H1 [1/keV/decay]  O16  Cl35  Cl37  Ni58  Ni60  Ni61  Ni62
3.589457E-02  2.410347E+06  6.037479E+04  7.947940E+04  3.377611E+03  4.433114E+04  1.477705E+03  3.867174E+03  1.289058E+02
3.673066E-02  2.344238E+06  5.951623E+04  7.014044E+04  1.547216E+03  4.311574E+04  1.237773E+03  3.761151E+03  1.079756E+02
3.758623E-02  2.311742E+06  5.916947E+04  7.106385E+04  2.923194E+03  3.850552E+04  1.007998E+03  3.358983E+03  8.793150E+01
3.846173E-02  2.245231E+06  6.461948E+04  7.289392E+04  2.364127E+03  4.147073E+04  8.865477E+02  3.617650E+03  7.733694E+01
3.935762E-02  2.205194E+06  5.718025E+04  7.537396E+04  3.080417E+03  4.235574E+04  5.775783E+02  3.694853E+03  5.038436E+01
4.027437E-02  2.154433E+06  5.992376E+04  7.347010E+04  3.104370E+03  4.148568E+04  5.644310E+02  3.618954E+03  4.923747E+01
4.121248E-02  2.097670E+06  5.387127E+04  6.995911E+04  2.022471E+03  4.146065E+04  6.435135E+02  3.616771E+03  5.613614E+01
4.217245E-02  2.072201E+06  5.156696E+04  6.890567E+04  2.425623E+03  3.952868E+04  5.390274E+02  3.448237E+03  4.702142E+01
4.315477E-02  2.004927E+06  5.399266E+04  7.084890E+04  2.019238E+03  3.968241E+04  3.511718E+02  3.461648E+03  3.063405E+01
4.415997E-02  1.954743E+06  5.147672E+04  6.383113E+04  2.316452E+03  3.543314E+04  9.437398E+02  3.090968E+03  8.232603E+01
4.518859E-02  1.920224E+06  5.315558E+04  5.977907E+04  2.012199E+03  3.395585E+04  7.545745E+02  2.962099E+03  6.582441E+01
4.624117E-02  1.873893E+06  5.137208E+04  6.505491E+04  2.048328E+03  3.850858E+04  1.228997E+03  3.359250E+03  1.072101E+02
4.731826E-02  1.824832E+06  5.052298E+04  6.829810E+04  2.802384E+03  3.891310E+04  7.206130E+02  3.394539E+03  6.286182E+01
4.842045E-02  1.775939E+06  4.882522E+04  5.970135E+04  1.721402E+03  3.403681E+04  6.259643E+02  2.969161E+03  5.460526E+01
4.954830E-02  1.750654E+06  4.656685E+04  5.895409E+04  1.682218E+03  3.502072E+04  6.117156E+02  3.054991E+03  5.336229E+01
5.070243E-02  1.704378E+06  5.058809E+04  5.641655E+04  2.391165E+03  3.355104E+04  7.472391E+02  2.926785E+03  6.518452E+01
5.188344E-02  1.679018E+06  4.731890E+04  5.739607E+04  1.387437E+03  3.446685E+04  8.032529E+02  3.006675E+03  7.007081E+01
5.309196E-02  1.642654E+06  4.310191E+04  5.930081E+04  1.498576E+03  3.254052E+04  4.995255E+02  2.838633E+03  4.357551E+01
5.432863E-02  1.601915E+06  4.400368E+04  5.795096E+04  1.743410E+03  3.256690E+04  6.973641E+02  2.840935E+03  6.083373E+01
5.559411E-02  1.562657E+06  4.361537E+04  5.717703E+04  2.385216E+03  3.168929E+04  1.090384E+03  2.764378E+03  9.511838E+01
5.688906E-02  1.528152E+06  4.215638E+04  5.654149E+04  2.064530E+03  3.023538E+04  8.657708E+02  2.637548E+03  7.552449E+01
5.821418E-02  1.485622E+06  4.048088E+04  5.271626E+04  1.301636E+03  3.045829E+04  7.809817E+02  2.656992E+03  6.812801E+01
5.957016E-02  1.461218E+06  3.917782E+04  5.285190E+04  1.399208E+03  3.269059E+04  6.360036E+02  2.851725E+03  5.548102E+01
6.095773E-02  1.418075E+06  4.008845E+04  5.208391E+04  1.926732E+03  3.039264E+04  9.322896E+02  2.651266E+03  8.132718E+01
6.237762E-02  1.391140E+06  4.039069E+04  5.150572E+04  1.275495E+03  2.860754E+04  6.681166E+02  2.495545E+03  5.828236E+01
6.383058E-02  1.372710E+06  3.899644E+04  5.312300E+04  1.365172E+03  3.270478E+04  4.748425E+02  2.852963E+03  4.142232E+01
6.531738E-02  1.321568E+06  3.851480E+04  4.883955E+04  1.740127E+03  3.120627E+04  8.120591E+02  2.722242E+03  7.083901E+01
6.683882E-02  1.291996E+06  3.650442E+04  4.948503E+04  1.133678E+03  2.800184E+04  7.368905E+02  2.442707E+03  6.428177E+01
6.839570E-02  1.271560E+06  3.655978E+04  5.112829E+04  1.606414E+03  2.980176E+04  6.647232E+02  2.599721E+03  5.798634E+01
6.998884E-02  1.242616E+06  3.865074E+04  4.861115E+04  1.840511E+03  2.955645E+04  5.954596E+02  2.578322E+03  5.194421E+01
7.161909E-02  1.222107E+06  3.496722E+04  4.565311E+04  1.798616E+03  2.835466E+04  4.761043E+02  2.473485E+03  4.153240E+01
7.328731E-02  1.184259E+06  3.463653E+04  4.518258E+04  1.550889E+03  2.786431E+04  3.618742E+02  2.430711E+03  3.156767E+01
7.499439E-02  1.151593E+06  3.490902E+04  4.344683E+04  1.515587E+03  2.637121E+04  3.031174E+02  2.300462E+03  2.644209E+01
7.674123E-02  1.127602E+06  3.268267E+04  4.611120E+04  1.135501E+03  2.715328E+04  6.418048E+02  2.368684E+03  5.598708E+01
7.852877E-02  1.106855E+06  3.145627E+04  4.014051E+04  1.640358E+03  2.614923E+04  6.754413E+02  2.281097E+03  5.892133E+01
8.035794E-02  1.074541E+06  3.187178E+04  4.064123E+04  9.900996E+02  2.805282E+04  3.771808E+02  2.447155E+03  3.290292E+01
