# Er [keV]  dR/dEr H1 [1/keV/decay]  O16  F19  Mg24  Mg25  Mg26  Al27  Si28  Si29  Si30  K39  K41
4.842045E-03  2.234596E+07  1.083384E+07  8.773644E+05  1.927469E+06  9.954524E+04  1.912830E+05  2.966839E+05  1.068647E+06  8.295437E+04  5.465229E+04  2.419340E+06  2.830208E+04
4.954830E-03  2.201278E+07  1.069310E+07  8.659767E+05  1.907438E+06  9.632560E+04  1.707157E+05  3.147272E+05  1.037646E+06  7.057519E+04  4.482478E+04  2.402418E+06  4.387106E+04
5.070243E-03  2.138216E+07  1.058856E+07  8.760889E+05  1.859359E+06  9.506497E+04  1.789458E+05  2.646907E+05  1.071811E+06  6.151263E+04  3.914440E+04  2.387808E+06  2.609627E+04
5.188344E-03  2.101658E+07  1.017175E+07  8.333769E+05  1.807927E+06  1.120277E+05  1.867128E+05  2.759707E+05  1.021000E+06  7.923911E+04  4.371813E+04  2.273343E+06  2.641304E+04
5.309196E-03  2.048478E+07  9.860999E+06  8.339882E+05  1.801486E+06  1.094776E+05  1.691118E+05  2.714690E+05  9.657174E+05  6.230435E+04  3.382236E+04  2.252747E+06  1.691118E+04
5.432863E-03  2.005763E+07  9.750479E+06  7.706445E+05  1.690895E+06  9.654801E+04  1.661322E+05  2.670292E+05  8.845885E+05  7.393316E+04  4.435990E+04  2.112749E+06  3.218267E+04
5.559411E-03  1.961296E+07  9.414631E+06  7.675525E+05  1.711056E+06  8.670028E+04  1.700006E+05  2.711509E+05  9.613531E+05  5.610018E+04  2.040007E+04  2.126707E+06  2.040007E+04
5.688906E-03  1.894390E+07  9.380579E+06  7.799844E+05  1.708656E+06  8.971067E+04  1.653002E+05  2.550109E+05  9.187037E+05  6.063777E+04  3.821010E+04  2.128967E+06  2.575028E+04
5.821418E-03  1.867910E+07  9.266896E+06  7.119015E+05  1.596705E+06  8.685686E+04  1.469261E+05  2.751820E+05  9.010384E+05  5.763399E+04  3.896382E+04  2.028554E+06  3.246985E+04
5.957016E-03  1.828008E+07  8.854466E+06  7.250476E+05  1.630961E+06  7.853360E+04  1.475480E+05  2.474998E+05  9.471629E+05  6.504804E+04  3.093748E+04  2.018869E+06  1.427884E+04
6.095773E-03  1.784615E+07  8.606401E+06  7.085435E+05  1.568253E+06  9.147498E+04  1.426390E+05  2.279123E+05  8.550585E+05  7.752117E+04  3.100847E+04  1.930277E+06  2.015551E+04
6.237762E-03  1.750356E+07  8.537766E+06  6.787789E+05  1.466647E+06  8.408980E+04  1.242408E+05  2.613602E+05  8.628674E+05  4.924177E+04  3.106020E+04  1.954520E+06  2.196941E+04
6.383058E-03  1.696521E+07  8.460394E+06  6.870183E+05  1.512477E+06  8.217568E+04  1.391804E+05  2.146932E+05  8.595132E+05  7.107086E+04  3.183382E+04  1.838218E+06  2.146932E+04
6.531738E-03  1.653273E+07  8.097796E+06  6.431646E+05  1.483836E+06  7.741126E+04  1.512052E+05  2.040185E+05  8.428422E+05  5.353676E+04  2.676838E+04  1.792034E+06  2.242756E+04
6.683882E-03  1.638405E+07  7.855494E+06  6.511484E+05  1.421780E+06  7.918417E+04  1.484703E+05  2.255335E+05  8.201217E+05  6.009513E+04  2.969406E+04  1.782351E+06  2.545205E+04
6.839570E-03  1.596205E+07  7.805190E+06  6.439264E+05  1.411525E+06  6.701809E+04  1.367998E+05  2.335270E+05  7.717444E+05  4.698176E+04  3.592723E+04  1.762507E+06  2.349088E+04
6.998884E-03  1.545287E+07  7.491811E+06  5.847069E+05  1.371968E+06  8.777356E+04  1.343611E+05  2.329375E+05  7.589037E+05  5.401450E+04  4.186123E+04  1.787880E+06  2.093062E+04
7.161909E-03  1.531424E+07  7.526478E+06  5.575413E+05  1.306428E+06  6.994009E+04  1.339419E+05  2.098203E+05  7.528457E+05  4.750648E+04  2.507286E+04  1.677243E+06  2.045418E+04
7.328731E-03  1.491406E+07  7.298412E+06  5.964336E+05  1.372120E+06  7.221682E+04  1.328274E+05  1.979515E+05  7.408672E+05  5.609699E+04  2.901569E+04  1.664856E+06  2.321255E+04
7.499439E-03  1.459978E+07  7.063598E+06  5.658439E+05  1.224315E+06  7.687412E+04  1.190919E+05  1.947058E+05  7.258934E+05  5.292972E+04  3.276602E+04  1.635781E+06  2.142394E+04
7.674123E-03  1.418555E+07  6.949609E+06  5.572742E+05  1.280191E+06  7.204539E+04  1.243861E+05  1.865791E+05  7.340009E+05  5.665108E+04  1.601009E+04  1.611477E+06  1.601009E+04
7.852877E-03  1.391199E+07  6.761931E+06  5.211206E+05  1.238414E+06  6.860017E+04  1.191477E+05  1.817303E+05  6.769754E+05  4.573345E+04  2.828253E+04  1.585627E+06  2.166321E+04
8.035794E-03  1.373763E+07  6.712685E+06  5.521867E+05  1.200815E+06  5.762971E+04  1.117311E+05  1.893548E+05  6.450999E+05  4.822078E+04  2.352233E+04  1.536596E+06  1.881786E+04
8.222971E-03  1.316172E+07  6.500120E+06  5.137571E+05  1.146471E+06  6.378864E+04  1.011423E+05  1.792978E+05  6.878829E+05  5.229519E+04  3.448034E+04  1.472311E+06  1.609083E+04
8.414509E-03  1.285988E+07  6.307231E+06  5.172255E+05  1.156878E+06  6.570618E+04  1.134414E+05  1.724085E+05  6.345981E+05  3.706502E+04  2.471002E+04  1.427003E+06  1.853251E+04
8.610508E-03  1.258197E+07  6.248178E+06  4.681331E+05  1.121215E+06  6.585695E+04  9.878542E+04  1.662888E+05  5.866756E+05  4.280701E+04  2.030589E+04  1.454890E+06  1.152497E+04
8.811073E-03  1.214218E+07  6.144567E+06  5.003824E+05  1.096765E+06  7.615680E+04  1.040452E+05  1.700120E+05  6.285618E+05  3.486051E+04  3.164261E+04  1.429817E+06  1.930736E+04
9.016309E-03  1.192187E+07  5.882058E+06  5.052396E+05  1.095909E+06  6.708575E+04  9.958042E+04  1.671903E+05  6.409834E+05  3.930806E+04  2.306073E+04  1.421904E+06  1.362679E+04
9.226326E-03  1.135600E+07  5.793238E+06  4.732518E+05  1.084792E+06  5.480297E+04  9.116756E+04  1.592871E+05  6.028327E+05  4.251072E+04  1.587750E+04  1.324491E+06  1.843838E+04
9.441234E-03  1.100591E+07  5.681388E+06  4.659829E+05  1.029067E+06  6.656899E+04  9.559908E+04  1.551608E+05  5.866080E+05  4.154306E+04  1.751816E+04  1.305853E+06  1.551608E+04
9.661149E-03  1.070989E+07  5.644020E+06  4.455934E+05  9.762946E+05  5.233643E+04  9.293385E+04  1.433138E+05  5.786355E+05  4.695605E+04  2.201065E+04  1.294715E+06  1.467377E+04
9.886186E-03  1.020703E+07  5.428552E+06  4.096389E+05  9.832289E+05  5.735900E+04  8.603850E+04  1.625172E+05  5.606842E+05  3.680536E+04  2.485557E+04  1.272892E+06  1.577373E+04
1.011646E-02  1.004196E+07  5.295173E+06  4.404859E+05  9.538412E+05  4.951379E+04  8.828403E+04  1.387320E+05  5.698757E+05  3.643468E+04  1.961867E+04  1.249523E+06  1.354623E+04
1.035211E-02  9.624393E+06  5.249503E+06  4.021576E+05  9.444540E+05  4.245250E+04  9.266514E+04  1.378565E+05  5.212985E+05  2.784519E+04  2.099801E+04  1.261707E+06  1.825914E+04
1.059324E-02  9.490518E+06  5.006889E+06  3.988025E+05  9.296470E+05  4.728531E+04  9.412452E+04  1.405177E+05  5.295062E+05  4.237834E+04  1.739742E+04  1.200422E+06  1.739742E+04
1.083999E-02  9.139784E+06  5.061625E+06  4.293946E+05  9.298464E+05  5.318390E+04  8.718672E+04  1.312160E+05  4.899894E+05  3.966996E+04  2.092481E+04  1.192714E+06  1.133427E+04
1.109248E-02  9.023755E+06  4.872708E+06  3.719072E+05  9.367972E+05  4.984323E+04  8.094200E+04  1.410095E+05  4.967283E+05  3.535887E+04  2.428260E+04  1.142560E+06  1.491037E+04
1.135086E-02  8.875384E+06  4.696015E+06  3.946651E+05  8.605197E+05  4.371290E+04  8.367898E+04  1.365508E+05  4.779277E+05  3.580295E+04  1.956673E+04  1.154021E+06  1.332203E+04
1.161526E-02  8.661964E+06  4.668860E+06  3.657464E+05  8.722583E+05  4.719308E+04  8.584259E+04  1.379177E+05  4.654214E+05  2.969909E+04  1.708715E+04  1.091950E+06  1.301878E+04
1.188581E-02  8.455252E+06  4.606715E+06  3.697458E+05  8.357051E+05  4.452853E+04  8.905706E+04  1.304050E+05  4.838502E+05  3.816731E+04  1.908366E+04  1.046818E+06  1.391517E+04
1.216267E-02  8.176534E+06  4.466886E+06  3.574441E+05  8.357199E+05  5.322809E+04  7.731672E+04  1.336530E+05  4.635118E+05  3.263620E+04  2.020336E+04  1.090982E+06  1.787221E+04
