# Er [keV]  dR/dEr H1 [1/keV/decay]  O16  S32  S34  Ca40  Ca44
1.640699E-02  6.600519E+06  5.152650E+05  2.102535E+04  0.000000E+00  4.118664E+04  1.152074E+03
1.678915E-02  6.431978E+06  4.849597E+05  1.998383E+04  0.000000E+00  4.418959E+04  1.688774E+03
1.718022E-02  6.235783E+06  4.948249E+05  1.650333E+04  0.000000E+00  4.180844E+04  5.501110E+02
1.758040E-02  6.151899E+06  4.510371E+05  1.397731E+04  0.000000E+00  4.273832E+04  2.419150E+03
1.798990E-02  6.019745E+06  4.475998E+05  1.313380E+04  0.000000E+00  4.229083E+04  1.576056E+03
1.840894E-02  5.936625E+06  4.515296E+05  1.360493E+04  0.000000E+00  4.261166E+04  2.310271E+03
1.883774E-02  5.750317E+06  4.327225E+05  1.354609E+04  0.000000E+00  4.013658E+04  2.257682E+03
1.927653E-02  5.602999E+06  4.201759E+05  1.372803E+04  0.000000E+00  4.142925E+04  1.961148E+03
1.972553E-02  5.430901E+06  4.118094E+05  1.197817E+04  0.000000E+00  4.407965E+04  2.395633E+03
2.018500E-02  5.348013E+06  3.947098E+05  1.240784E+04  0.000000E+00  3.558475E+04  1.638771E+03
2.065517E-02  5.227193E+06  3.880129E+05  1.258297E+04  0.000000E+00  3.637621E+04  2.516593E+03
2.113629E-02  5.093228E+06  3.908065E+05  1.140225E+04  0.000000E+00  4.091395E+04  1.565015E+03
2.162862E-02  5.002418E+06  3.897761E+05  1.048725E+04  0.000000E+00  3.779779E+04  8.739374E+02
2.213241E-02  4.880222E+06  3.631823E+05  1.345120E+04  0.000000E+00  3.715092E+04  8.540442E+02
2.264794E-02  4.804396E+06  3.611748E+05  1.043255E+04  0.000000E+00  3.380145E+04  1.043255E+03
2.317548E-02  4.626524E+06  3.613134E+05  1.366140E+04  0.000000E+00  3.792567E+04  1.835113E+03
2.371531E-02  4.550503E+06  3.467126E+05  1.394821E+04  0.000000E+00  3.825794E+04  1.195561E+03
2.426771E-02  4.447700E+06  3.489461E+05  1.148874E+04  0.000000E+00  3.446622E+04  1.557795E+03
2.483298E-02  4.348551E+06  3.269215E+05  1.103693E+04  0.000000E+00  3.482342E+04  9.514596E+02
2.541141E-02  4.265558E+06  3.391917E+05  1.357511E+04  0.000000E+00  3.086942E+04  1.115762E+03
2.600332E-02  4.147564E+06  3.291083E+05  1.054019E+04  0.000000E+00  3.507338E+04  9.086368E+02
2.660901E-02  4.054219E+06  3.074096E+05  1.296412E+04  0.000000E+00  3.214393E+04  7.103630E+02
2.722882E-02  3.972520E+06  3.132547E+05  8.677415E+03  0.000000E+00  3.002385E+04  1.388386E+03
2.786306E-02  3.852754E+06  3.006970E+05  1.000627E+04  0.000000E+00  2.527008E+04  6.783914E+02
2.851207E-02  3.753951E+06  2.853997E+05  1.093866E+04  0.000000E+00  3.049567E+04  1.491636E+03
2.917620E-02  3.689880E+06  2.876493E+05  9.393952E+03  0.000000E+00  2.688614E+04  6.478588E+02
2.985580E-02  3.652738E+06  2.855334E+05  1.028806E+04  0.000000E+00  2.769864E+04  1.741057E+03
3.055124E-02  3.534171E+06  2.743936E+05  1.036323E+04  0.000000E+00  2.691346E+04  1.237401E+03
3.126287E-02  3.497558E+06  2.590784E+05  9.976180E+03  0.000000E+00  2.645199E+04  9.069255E+02
3.199107E-02  3.366687E+06  2.700204E+05  8.862813E+03  0.000000E+00  2.629301E+04  1.033995E+03
3.273624E-02  3.309395E+06  2.550685E+05  1.010458E+04  0.000000E+00  2.497275E+04  1.732214E+03
3.349876E-02  3.218688E+06  2.558925E+05  8.322855E+03  0.000000E+00  2.595602E+04  7.053267E+02
3.427905E-02  3.139770E+06  2.531005E+05  9.511947E+03  0.000000E+00  2.743301E+04  9.649801E+02
3.507751E-02  3.055636E+06  2.459921E+05  7.409400E+03  0.000000E+00  2.047689E+04  5.388654E+02
3.589457E-02  2.993191E+06  2.290707E+05  7.635691E+03  0.000000E+00  2.738317E+04  1.184849E+03
3.673066E-02  2.909619E+06  2.287453E+05  8.105147E+03  0.000000E+00  2.328622E+04  1.286531E+03
3.758623E-02  2.874316E+06  2.335963E+05  9.177897E+03  0.000000E+00  2.338478E+04  1.005797E+03
3.846173E-02  2.807415E+06  2.198015E+05  8.231806E+03  0.000000E+00  2.272961E+04  8.600395E+02
3.935762E-02  2.741709E+06  2.176798E+05  9.125022E+03  0.000000E+00  2.509381E+04  7.203965E+02
4.027437E-02  2.683641E+06  2.065062E+05  8.095980E+03  0.000000E+00  2.229328E+04  9.386644E+02
4.121248E-02  2.574740E+06  2.133864E+05  7.682369E+03  0.000000E+00  2.040987E+04  5.733111E+02
4.217245E-02  2.586837E+06  2.081930E+05  7.843653E+03  0.000000E+00  1.949708E+04  1.232574E+03
4.315477E-02  2.502658E+06  2.102430E+05  8.212618E+03  0.000000E+00  2.069580E+04  5.475078E+02
4.415997E-02  2.418725E+06  1.959335E+05  6.420540E+03  0.000000E+00  1.979667E+04  3.210270E+02
4.518859E-02  2.379877E+06  1.918918E+05  6.588111E+03  0.000000E+00  1.871860E+04  6.274391E+02
4.624117E-02  2.301893E+06  1.863997E+05  7.255689E+03  0.000000E+00  2.074514E+04  9.197353E+02
4.731826E-02  2.281253E+06  1.905455E+05  7.989329E+03  0.000000E+00  2.047266E+04  3.994665E+02
4.842045E-02  2.211271E+06  1.827924E+05  7.026723E+03  0.000000E+00  2.068980E+04  8.783404E+02
4.954830E-02  2.169901E+06  1.718601E+05  5.150081E+03  0.000000E+00  2.021884E+04  7.629750E+02
5.070243E-02  2.132811E+06  1.739130E+05  6.803669E+03  0.000000E+00  1.985180E+04  5.592057E+02
